ID,Accident report summary,Project type,Traditional hazard type,Energy source type,Accident severity,Hazard source 1,Hazard source attributes 1,Hazard source 2,Hazard source attributes 2,Hazard source 3,Hazard source attributes 3,Initiating mechanism,Target/threat outcome,Spatiotemporal relation,Control measures
4557,At approximately 3:45 p.m. on April 2  2013  an employee was working as a tile  setter for Jeffrey Razook Tile. The firm installed ceramic tile. The employee  had been working for the company for approximately six months. At the time of  the incident  he was performing his daily duties. He was working within  proximity of an onsite coworker. The employee and the coworker were working  from 16-foot (4.9-meter) extension ladders caulking the edges of five  balconies. The employee reached over to his left  lost his balance  and fell  to the ground. He fell approximately 11 feet (3.4 meters). He sustained  bruises  contusions  and abrasions. He was transported to Cottage Hospital   where he was treated for three hours. The Division was notified of the  accident by the Santa Barbara  CA  fire department at 4:57 p.m. that same day.  It initiated an inspection on April 12  2013. Interviews were conducted of the  employee  his supervisor  and the coworker.,Other,Fall and crushing,Gravity,Non-fatal,Extension ladder,Elevated position,N/A,N/A,N/A,N/A,Lost balance and fell,Employee/Bruises and contusions/Hospital treatment,Fell from extension ladder,"Ladder safety, fall protection"
4558,At 10:30 p.m. on January 9  2013  Employee #1  a crane operator employed by  Concrete General Inc.  along with Coworker #1  a rigger  and Coworker #2  a  laborer  were using a mobile crane as part of a bridge repair project. The  crane was a boom truck that was being operated in a closed 11-foot lane  the  fast lane  on one of two bridges  the westbound bridge. Employee #1 operated  the crane without the outriggers extended and with only the jacks down. This  was because the single lane closure did not allow sufficient space to extend  the 17-foot outriggers. The crane was being used to remove the temporary work  platform located on the inside of the bridge. The needle beams were being  removed from under the work platform and were being loaded onto a flatbed  truck that was parked behind the crane. Each beam weighed 1 796 pounds and  measured 21 feet in length. Employee #1 lifted four beams with the crane. He  was removing the fifth beam when that beam started swinging. Employee #1 lost  control of the load and the crane. The crane tipped over and the boom landed  on the eastbound bridge. Employee #1 sustained a knee injury. He was  transported to a hospital  where he received treatment for a knee  bruise/abrasion. He then was released. Maryland OSHA's investigation  determined that the crane collapsed between the 50-foot span of the two  bridges  above the creek that ran 60 feet below. At the time of the collapse   the crane's hydraulic boom was extended to 58 feet and the boom angle was 65  feet. The load chart requires that the boom angle be at a maximum of 45 feet  with the boom extended to 58 feet. Therefore  the crane was being operated  outside the safe parameters required by the manufacturer's load charts.  Employee #1 and his two coworkers were exposed to struck-by hazards while  working with the mobile crane.,Other,Collapse,Mechanical,Non-fatal,Mobile crane,Inadequate support,Beam,Swinging motion,N/A,N/A,Crane tipped over while moving beam,Employee/Knee injury/Hospital treatment,Crane tipping over,"Adherence to load charts, proper crane operation"
4559,On October 1  2009  four employees were abrasive blast cleaning the McKees  Rocks Bridge in McKees Rocks  PA. They were performing the work from  suspension scaffolds  within Containment Number 17  which enclosed Pier Number  16. At approximately 2:00 p.m.  a wire rope failed on the suspension scaffold  being used to blast clean the fascia beam on the upriver side of the bridge.  Employee #1  who was abrasive blast cleaning in close proximity to the failed  wire rope  fell approximately 124 feet and was killed. As part of the  investigation  the wire rope was analyzed by the Materials Failure Division at  the Salt Lake Technical Center. Analysis revealed extreme ablative damage to  the wires at the failure site  significant enough to cause the wire rope to  fail.,Other,Fall and crushing,Gravity,Fatal,Suspended scaffold,Equipment failure,Cable wire,Abrasive damage,N/A,N/A,Wire rope failure during abrasive blast cleaning,Employee/Fall/Death,Suspension scaffold failure,"Equipment inspection, fall protection"
4560,On March 16  2001  Employee #1 and a coworker were doing abrasive blasting  from separate man lifts inside a hydro-pillar water tank. Suddenly  the  coworker heard a sound. He yelled for Employee #1 and got no response. The  coworker shone his light and saw Employee #1 on the floor of the tank.  Employee #1 fell approximately 25 ft when the weld on the anchor pad-eye that  the scaffolding was connected to gave  jerking the man lift. Employee #1 was  apparently not tied off to the safety line.,Plumbing,Fall and crushing,Gravity,Non-fatal,Manlift,Equipment failure,Anchor pad-eye,Weld failure,N/A,N/A,Fell from man lift due to weld failure,Employee/Fall/Death,Fell from man lift,"Use of fall protection, equipment maintenance"
4561,On May 9  2000  Employee #1 was performing abrasive blasting operations on the  roof of a water tower. Employee #1 had not donned his fall protection  equipment and was subsequently not tied off. When he got to the edge of the  tower  he slipped or stumbled and fell 150 ft to the ground. Employee #1 was  killed.,Plumbing,Fall and crushing,Gravity,Fatal,Water tower,Elevated position,N/A,N/A,N/A,N/A,Slipped and fell off water tower,Employee/Fall/Death,Fell from water tower,"Fall protection, training in working at heights"
4562,At approximately 9:30 a.m. on October 2  1990  Employee #1 was attempting to  clear an abrasive blasting machine. He first disconnected the air supply line  and then took the nozzle end and the air supply line and held them together  between his legs to backflush the machine. When Employee #1 lost his grip  the  nozzle end with the pressurized abrasive lacerated his right thigh. He was  hospitalized for three days for a laceration with the abrasive in it.,Blasting,Other,Mechanical,Non-fatal,Abrasive blasting machine,High pressure,Air ventilation shaft,Disconnection,N/A,N/A,"Lost grip on nozzle, causing injury",Employee/Laceration/Hospitalization,Laceration from abrasive blasting,"Safe handling of equipment, personal protective equipment"
4563,EMPLOYEE #1 WAS SANDBLASTING INSIDE A 1 620 CUBIC FOOT RAIL CAR COMPARTMENT.  AN OIL HOSE CAME LOOSE ON THE DAVEY AIR COMPRESSOR  S/N 35808. THE EMPLOYEE  WAS WEARING AN AIRLINE RESPIRATOR WITH AN ABRASIVE BLASTING HOOD. THE OUTSIDE  EMPLOYEE WENT TO THE RAILCAR TO CHECK ON EMPLOYEE #1 AND FOUND HIM  UNCONSCIOUS. EMPLOYEE #1'S LOWER DENTURES WERE FOUND LODGED IN HIS THROAT AT  THE HOSPITAL. HE DIED 7 DAYS LATER DUE TO CEREBRAL ANOXIA  WITH BRAIN DEATH  SECONDARY TO ASPHYXIATION.,Blasting,Asphyxia,Others,Fatal,Rail car compartment,Confined space,Air compressor,Hose detachment,N/A,N/A,"Hose came loose, causing asphyxiation",Employee/Asphyxiation/Death,Asphyxiation in confined space,"Respiratory protection, confined space procedures"
4564,Employees #1 and #2 were being hoisted up a 500 ft telecommunications tower to  replace antenna parts damaged when the tower was struck by lightning. They  were being raised by a 1/2 in. nylon rope load line using a friction winch.  Employee #2 was attached to the load line by a pelican clip that was attached  to a seat strap D-ring by a small clevis on his tree saddle safety belt. The  pelican clip had been run through a hand-tied loop in the end of the rope load  line. Employee #1 was attached to the same loop by the center clip of a short  three-clip rope safety lanyard  as were the replacement antenna parts. The  remaining clips were attached to the waist D-rings on her full body harness.  The rope load line had been routed up the tower through a 3 in. McKissik top  block pulley that had been hand-tied to the face of the tower by two pieces of  1/2 in. climbing rope  at a height of approximately 475 ft. The 1/2 in. nylon  load line was then routed back down the tower and through a heel block pulley  attached near the base. The free end was then wrapped around a cathead  (capstan hoist) which had been bolted to the left rear wheel of a small  pick-up truck  with the wheel jacked up off the ground. With the pickup truck  idling  Employee #3 manually pulled on the free end of the rope  hoisting  Employees #1 and #2 up the tower. The two employees were at a height of  approximately 385 ft when the pickup's engine apparently stalled. When a  coworker tried to restart the engine  friction was lost between the rope load  line and the capstan hoist drum  causing Employees #1 and #2 to fall. They  struck a guy at a height of about 210 ft and managed to ride it to the ground.  Employee #1 was killed. Employee #2 suffered a fractured back  a fractured  jaw  some fractured ribs  and other internal injuries. Employee #3 sustained  severe rope burns to both hands from trying to stop the rope.,Other,Fall and crushing,Gravity,Fatal,Telecommunication tower,Elevated position,Safety cable,Inadequate anchoring,N/A,N/A,Fell from tower due to inadequate safety measures,Employee/Fall/Death,Fell from telecommunications tower,"Fall protection, proper equipment usage"
4565,At approximately 9:15 a.m. on August 20  2012  Employee #1 was working for WJ  Lent Contracting Services  a contractor for projects involving nonresidential  buildings. It was demolishing a commercial retail building. Employee #1 had  worked for the company for approximately three weeks. At the time of the  incident  he was working near coworkers. One coworker was operating a Lavina  30G Pro machine. This was a propane-powered  30-inch (0.76-meter)  machine for  the planetary grinding  polishing  and burnishing of concrete. Employee #1 was  walking toward the coworker to warn him about smoke that was coming from the  machine  when its abrasive disk came off the machine  flew out  and struck  Employee #1. He sustained a laceration and a fracture of his left leg.  Employee #1 was transported to Simi Valley Medical Center  where he was  treated for four days. The Division was notified of the accident by WJ Lent  Contracting Services at 2:52 p.m. on August 23  2012. It initiated an  inspection on September 11  2012. Interviews were conducted of Employee #1   his supervisor  and other workers who had been onsite.,Demolition,Other,Mechanical,Non-fatal,Double-check,Flying object,Grinding machine,Disk detachment,N/A,N/A,Abrasive disk flew off and struck employee,Employee/Laceration and fracture/Hospitalization,Struck by flying abrasive disk,"Equipment safety, personal protective equipment"
4566,At approximately 8:30 a.m. on December 16  2011  an employee was working for  C. A. Rasmussen  Inc. Rasmussen was a general engineering contractor. It  constructed highways  bridges  and other parts of the transportation  infrastructure. The injured employee had been working for company about 4  years  performing the duties of a laborer. At the time of accident he was  performing his daily duties. The employee was working adjacent to other  employees  and a supervisor was onsite. He was showing a coworker how to clean  out the concrete chamfer at the bottom of a concrete wall. This job was done  with a portable DeWalt Model Number D28494 angle grinder with an 8-inch  (203-millimeter) abrasive wheel. At the time of accident  the angle grinder  was not guarded. For some reason  his right wrist was severely lacerated  during this demonstration. The employee was transported to Northridge  Hospital. He was treated for the laceration of his right wrist for two days.  The Division was notified of the accident at 2:15 p.m. on December 16  2011.  It initiated an inspection on January 11  2012. Interviews were conducted of  the employee's supervisor  the injured employee  and injured coworkers. There  was no mention on the injury line of other workers injured during this  incident. The investigation found no violation of any Title 8 standard in  connection with this accident. As a result  the Division did not issue serious  accident-related citation. Only no-accident-related citations were issued.,Masonry,Other,Mechanical,Non-fatal,Double-check,Unprotected equipment,Angle grinder,No guard,N/A,N/A,Severe laceration during demonstration,Employee/Laceration/Hospitalization,Laceration from angle grinder,"Use of guards on grinders, safe operation of tools"
4567,On February 3  2011  an employee was using a Stihl abrasive wheel cut off saw  to cut metal tubing. While cutting the tubing  the abrasive wheel broke into  many pieces. Some of the pieces struck the operator in the face and caused  multiple serious cuts.,Other,Other,Mechanical,Non-fatal,Cut-off saw,Equipment failure,Abrasive wheel,Breakage,N/A,N/A,Abrasive wheel broke and struck operator,Employee/Facial cuts/Serious injury,Struck by broken abrasive wheel,"Safe operation of saws, personal protective equipment"
4568,On March 8th  2010 Employee #1 of Lassen County Road Department  was grinding  a small metal part on a pedestal grinder. The tool rest was more than 1/8 in.  from the grinding wheel. Employee #1's finger was pulled into the wheel  between the tool rest and abrasive wheel. Employee #1 suffered a severe  laceration to his left thumb.,Other,Other,Mechanical,Non-fatal,Pedestal grinder,Unprotected equipment,Grinding wheel,Proximity to tool rest,N/A,N/A,Finger pulled into wheel,Employee/Severe laceration/Treatment,Finger pulled into grinder,"Machine guarding, safe operation practices"
4569,At approximately 10:30 a.m. on July 29  2005  Employee #1 was shaping a  0.25-in. thick steel bucket with a Bosch 1347A portable right-angle grinder  (Serial Number R1880022170). It had no safety guard and its screw-in handle  was missing. After trying several new SAIT 22021 type-27 4.5-in. wheels that  day  he selected a wheel comparable to the rated rpm rate of the grinder. He  first cut was an approximately 8-in length off the bucket and experienced some  wheel binding and jerking problems. His supervisor then explained to him that  he needed to cut off more steel on the same bucket  and that he needed to cut  at an angle to avoid disturbing other components of the grinder. After the  supervisor left  Employee #1 began cutting at an approximately 45-degree  angle. The wheel snagged the body of the grinder  causing the abrasive wheel  to break apart and dislocated from the spindle. Flying debris ejected from the  grinder and struck Employee #1 in his face. Employee #1 was not wearing a face  shield  but was wearing ANSI labeled safety glasses. The impact of the flying  debris upon his face caused two facial lacerations and a broken nose. He was  transported to a medical center  where he was hospitalized for surgical  procedures and postoperative care and then released four days later. Citations  issued were a failure to use a grinder guard  sound and check the RPM before  the wheel was used  to receive training for grinder safety  and use eye and  face protection.,Other,Other,Mechanical,Non-fatal,Grinder,Equipment failure,Abrasive wheel,No safety guard,N/A,N/A,"Wheel snagged and broke, injuring face",Employee/Facial lacerations and broken nose/Hospitalization,Struck by flying debris from grinder,"Use of safety guard, face shield"
4570,At approximately 9:40 a.m. on January 21  2004  Employee #1 was cutting a  metal railing in the garage of a residential home under construction with a  Makita angle grinder  Model Number 9524NB  when the 6-inch diameter grinding  disc broke. His right hand was struck by the broken disc  lacerating his right  wrist. He was hospitalized with his injury. Further investigation revealed  that the employee was not familiar with using an abrasive disc grinder as a  cutting tool for metal or structural steel.,General construction,Other,Mechanical,Non-fatal,Angle grinder,Equipment failure,Grinding disc,Breakage,N/A,N/A,Grinding disc broke and struck hand,Employee/Laceration/Hospitalization,Grinder disc broke while cutting,"Training on equipment usage, use of appropriate cutting tools"
4571,At approximately 11:55 a.m. on July 18  2000  Employee #1 was using a handheld  power grinder to cut the end off of a piece of Unistrut. The grinder kicked  back  and the spinning abrasive wheel ran across the back of his hand   severely lacerating it. Employee #1's injuries required he undergo extensive  surgery and treatment on his hand.,General construction,Other,Mechanical,Non-fatal,Handheld grinder,Kickback,Abrasive wheel,Rotational force,N/A,N/A,Wheel kicked back and lacerated hand,Employee/Severe laceration/Surgery,Grinder kickback causing injury,"Safe operation of grinders, personal protective equipment"
4572,At approximately 7:30 a.m. on September 17  2013  Employee #1 and Coworker #1   employed by a plumbing contractor  were working at an aerospace manufacturing  plant. Employee #1  a plumber's assistant  was assembling a pipe section to a  ball valve. He was using a pipe and bolt threading machine  Ridge Tool Company  Model 1822-I. This machine is operated by a foot- switch pedal. The  foot-switch pedal is like the gas pedal of a car: when you step on it  the  machine starts rotating; when you step off it  the machine stops rotating.  Employee #1 was using the machine to grip the pipe in a fixed position. He was  using his right hand to thread the valve onto the stationary section of the  pipe. Employee #1 had his right hand on the pipe and under the ball valve. He  unintentionally activated the machine via the foot-switch pedal. The machine  started to rotate  and the pipe rotated toward Employee #1. His fingers were  trapped between the valve handle and the valve body. Employee #1 immediately  either released the foot-switch pedal or kicked it away. Coworker #1  who was  approximately 5 feet away  came and turned off the machine using the  on/off-type switch on the side of the machine. However  the machine had  already rotated enough to break Employee #1 right index finger by bending it  backwards. Emergency services were called  and Employee #1 was transported to  the hospital  where he underwent surgery to repair the fractured right index  finger. The subsequent investigation of this event determined that the injury  was caused by the machine unintentionally being activated by Employee #1 via  the foot pedal while his hand was on the pipe being gripped by the pipe and  bolt threading machine. Employee #1 was a full-time employee of the employer.,Plumbing,Other,Mechanical,Non-fatal,Pipe threading machine,Unintentional activation,Foot-switch pedal,Sensitive operation,N/A,N/A,Accidental activation with foot pedal,Employee/Fractured finger/Surgery,Accidental activation of machine,"Proper training, safe equipment operation, use of lockout/tagout"
4573,On November 14  2010  Employee #1  a labor for California Department of  Transportation  was struck by a vehicle that entered through the traffic  control cones. Employee #1 was launched 51 feet and died at the scene.,Other,Collision,Motion,Fatal,Vehicle,Traffic violation,Traffic cone,Safety measures,N/A,N/A,Struck by a vehicle entering controlled area,Employee/Trauma/Death,Struck by vehicle entering work zone,"Traffic control measures, high visibility clothing"
4574,On October 29  2001  Employee #1 was preparing to remove a piece of roofing  machinery from the roof of a building. He was supposed to attach the machinery  to a crane but a rock apparently became stuck under the accelerator pedal and  he could not stop the machine. Employee #1 had no time to jump off and he was  thrown 18 ft off the roof to the ground. He was transported to the hospital   where  at the time this report was written  he was undergoing physical  therapy.,Roofing,Fall and crushing,Gravity,Non-fatal,Double-check,Malfunction,Accelerator pedal,Obstruction,N/A,N/A,Unable to stop machinery due to stuck accelerator pedal,Employee/Fall/Injury,Fell from roof while operating machinery,"Fall protection, safe machinery operation"
4575,At 8:30 a.m. on December 1  2008  Employee #1  an elevator mechanic  and  Employee #2  elevator mechanic's helper  were using compressed air to pressure  test a 14 in. diameter x 55 ft. PVC pipe located in a pit in the elevator  shaft. The PVC liner was being tested to ensure it was water tight when it  ruptured under low pressure. Both Employee #1 and #2 were standing outside the  hoistway with the doors open when the PVC ruptured. Both employees were  sprayed with dust and water. On December 10  2008  Employee #2 developed a  rash on his chest and stomach area. Employee #2 was admitted to hospital on  December 14  2008 and died on December 18  2008. Autopsy revealed that  Employee #2 died of a pulmonary embolism and that the manner of death was  natural. Employee #1 was not injured.,Other,Exposure to harmful substance,Chemical,Non-fatal,Polyvinyl chloride (PVC) pipe,Pressure test,Compressed air,Equipment failure,N/A,N/A,PVC ruptured during pressure test,Employee/Exposure/Natural death,Exposure to dust and water from PVC rupture,"Safety precautions for pressure testing, personal protective equipment"
4576,At 12:14 p.m.  on September 16  2008  Employee #1  a truck driver  was  standing by the side of a pump truck that was pumping concrete. Wet concrete  burst from a reducer elbow discharge line of the pump truck and struck  Employee #1 on his face  blowing off his safety glasses. He sustained a  chemical burn of his right eye. He was hospitalized for treatment and was  discharged at 12:00 p.m. on September 19  2008.,Masonry,Chemical burn,Chemical,Non-fatal,Pump truck,Equipment failure,Concrete,High pressure,N/A,N/A,Wet concrete burst from discharge line,Employee/Chemical burn/Hospitalization,Struck by burst concrete,"Protective equipment, safe operation of pump truck"
4577,On November 14  2007  Employee #1  a carpenter/framer with a general building  contractor  was starting to nail sheeting on the roof of a residential  building. He was removing an air hose from a Hitachi NR 83A nailer when a nail  accidentally discharged  seriously injuring him. He was transported to Valley  Presbyterian Hospital  where he was treated for four days. At the time of  accident  the Hitachi NR83A nailer was being operated without the safety push  lever (part #877-391Z) in place  which allowed the accidental discharge of the  nail. At the time of the accident  Employee #1 was working near the company's  on-site supervisor. The employer was cited for a violation  general  of T8CCR  3328(b).,Carpentry,Other,Mechanical,Non-fatal,Nail gun,Equipment misuse,Safety mechanism,Absence,N/A,N/A,Nail gun discharged accidentally,Employee/Injury/Hospitalization,Accidental nail gun discharge,"Safe handling of nail guns, use of safety features"
4578,On November 1  2007  Employee #1 was installing insulation around pipes in the  boiler room. He was standing approximately 10 ft in front of the valve cap on  the hot water return when the pressure blew the cap off of the fitting.  Employee #1 was struck by a stream of 185 degree F water that pinned him under  the boiler. He died of injuries sustained in the accident.,Plumbing,Burn,Temperature,Fatal,Boiler,High pressure,Valve cap,Failure,N/A,N/A,Pressure blew valve cap off,Employee/Burns/Death,Struck by stream of hot water,"Safety precautions for high-pressure systems, protective equipment"
4579,At approximately 1:00 p.m. on October 11  2007  Employee #1  of R.D. Winkle  Company  a roofing contractor in Thousand Palms  CA  was sprayed with hot tar  on his left forearm from a Cleasby Kettle. He sustained third-degree burns on  his arm and was hospitalized for three days.,Roofing,Burn,Temperature,Non-fatal,Kettle,Hot material,Tar,High temperature,N/A,N/A,Sprayed with hot tar,Employee/Burns/Hospitalization,Sprayed with hot tar,"Personal protective equipment, safe handling of hot materials"
4580,At 7:55 a.m. on September 4  2007  Employee #1  an independent contractor  was  using a concrete cutting saw to enlarge an interior doorway opening at a work  site in Poway  CA. He was holding the saw overhead when the gas cap or gas  line failed  causing gasoline to stream down over his head and chest. The  gasoline ignited from sparks created by the cutting operation. Employee #1  suffered second-degree burns over 60 percent of his body and was transported  to the Burn Center at UC-San Diego Medical Center.,General construction,Burn,Chemical,Non-fatal,Concrete cutting saw,Equipment failure,Gasoline,Leakage,N/A,N/A,Gasoline ignited from cutting operation,Employee/Burns/Hospitalization,Ignition of gasoline during cutting,"Safe operation of cutting tools, fire safety measures"
4581,On August 6  2002  Employee #1 was performing restoration efforts on a  bathroom. As he was sitting on a toilet seat cover  applying Sunrez resin and  acetone to a surface  Employee #1 turned on an ultraviolet halogen light. The  resin and acetone released volatile vapors  ignited and Employee #1 sustained  burns to his forearms. Employee #1 was transported to a medical facility   where he was treated and released. He returned to work the following day.,Other,Burn,Chemical,Non-fatal,Resin and acetone,Flammable materials,Ultraviolet light,Ignition Source,N/A,N/A,Ignited volatile vapors,Employee/Burns/Treatment,Ignition of volatile vapors,"Proper ventilation, fire safety measures"
4582,At approximately 3:00 p.m. on May 8  2000  Employee #1  a leadman for a  waterproofing contractor  was working at an apartment building in Hollywood   CA. He was using an electric chipping gun on a raised portion of the concrete  floor after the walls and floor had been cleaned with acetone. A flash fire  broke out and Employee #1 suffered first- and second-degree burns to his face   forearms  and hands.,Plumbing,Burn,Chemical,Non-fatal,Chipping gun,Flash fire,Acetone,Flammable liquid,N/A,N/A,Flash fire during use with acetone,Employee/Burns/Treatment,Flash fire during cleaning,"Safe handling of flammable materials, personal protective equipment"
4583,Employee #1 was part of a two man crew working at a house removing linoleum  tile. The room that crew was working in did not have heat so they brought a  heater and a fan to warm up the area. They were using acetone on the tile when  an explosion occurred. Employee #1 suffered burns to his body and was  hospitalized.,Flooring,Burn,Temperature,Non-fatal,Acetone,Flammable liquid,Heater,Ignition Source,N/A,N/A,Explosion due to flammable vapors,Employee/Burns/Hospitalization,Explosion during use of acetone,"Ventilation, safe use of heating equipment"
